,School Code,migrant score,all score,County Code,District Code,Filler,Test Year,Type Id,County Name,District Name,School Name,Zip Code,sanctuary
121,6116420,2434.2,2440.6,37,68114,,2017,7,San Diego,Fallbrook Union Elementary,William H. Frazier Elementary,92028,1.0
122,6116420,2456.0,2440.6,37,68114,,2017,7,San Diego,Fallbrook Union Elementary,William H. Frazier Elementary,92028,1.0
123,6040596,2376.1,2421.9,37,68452,,2017,7,San Diego,Vista Unified,Bobier Elementary,92083,1.0
124,6040596,2390.1,2421.9,37,68452,,2017,7,San Diego,Vista Unified,Bobier Elementary,92083,1.0
125,6042311,2357.2,2400.0,39,68593,,2017,7,San Joaquin,Manteca Unified,French Camp Elementary,95231,0.0
126,6042311,2397.4,2400.0,39,68593,,2017,7,San Joaquin,Manteca Unified,French Camp Elementary,95231,0.0
127,102848,2345.2,2404.8,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Sanchez (David J.) Elementary,93458,0.0
128,102848,2385.3,2404.8,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Sanchez (David J.) Elementary,93458,0.0
129,102863,2361.9,2369.2,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Liberty Elementary,93458,0.0
130,102863,2378.9,2369.2,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Liberty Elementary,93458,0.0
131,131623,2420.1,2396.7,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,"Jim�nez, Roberto And Dr. Francisco Elementary Scho",93458,0.0
132,131623,2370.8,2396.7,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,"Jim�nez, Roberto And Dr. Francisco Elementary Scho",93458,0.0
133,6045959,2358.0,2364.1,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Adam (William Laird) Elementary,93458,0.0
134,6045959,2415.8,2364.1,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Adam (William Laird) Elementary,93458,0.0
135,6045967,2350.7,2399.6,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Alvin Elementary,93454,0.0
136,6045967,2399.6,2399.6,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Alvin Elementary,93454,0.0
137,6046007,2402.0,2363.6,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Fairlawn Elementary,93458,0.0
138,6046031,2322.6,2391.3,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Miller (Isaac) Elementary,93454,0.0
139,6046031,2371.6,2391.3,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Miller (Isaac) Elementary,93454,0.0
140,6046049,2356.5,2341.3,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Oakley (Calvin C.) Elementary,93458,0.0
141,6046049,2330.2,2341.3,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Oakley (Calvin C.) Elementary,93458,0.0
142,6046064,2329.2,2374.9,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Bruce (Robert) Elementary,93458,0.0
143,6046064,2351.7,2374.9,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Bruce (Robert) Elementary,93458,0.0
144,6109268,2383.0,2413.1,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Ontiveros (Juan Pacifico) Elementary,93458,0.0
145,6109268,2357.8,2413.1,42,69120,,2017,7,Santa Barbara,Santa Maria-Bonita,Ontiveros (Juan Pacifico) Elementary,93458,0.0
146,6045512,2368.4,2353.3,42,69203,,2017,7,Santa Barbara,Guadalupe Union Elementary,Mary Buren Elementary,93434,0.0
147,6045512,2345.0,2353.3,42,69203,,2017,7,Santa Barbara,Guadalupe Union Elementary,Mary Buren Elementary,93434,0.0
148,6049639,2329.1,2341.8,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Amesti Elementary,95076,1.0
149,6049639,2338.2,2341.8,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Amesti Elementary,95076,1.0
150,6049670,2392.0,2330.5,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Calabasas Elementary,95076,1.0
151,6049670,2367.1,2330.5,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Calabasas Elementary,95076,1.0
152,6049712,2366.9,2348.6,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Hall District Elementary,95076,1.0
153,6049712,2374.6,2348.6,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Hall District Elementary,95076,1.0
154,6108138,2357.6,2378.7,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Ohlone Elementary,95076,1.0
155,6108138,2380.5,2378.7,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Ohlone Elementary,95076,1.0
156,6117253,2348.7,2362.0,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Ann Soldo Elementary,95076,1.0
157,6117253,2350.4,2362.0,44,69799,,2017,7,Santa Cruz,Pajaro Valley Unified,Ann Soldo Elementary,95076,1.0
158,6052369,2356.6,2416.7,49,75358,,2017,10,Sonoma,Windsor Unified,Cali Calmecac Language Academy,95492,1.0
159,6052369,2382.4,2416.7,49,75358,,2017,10,Sonoma,Windsor Unified,Cali Calmecac Language Academy,95492,1.0
160,6052633,2391.6,2335.5,50,71167,,2017,7,Stanislaus,Modesto City Elementary,Bret Harte Elementary,95358,0.0
161,6052633,2349.5,2335.5,50,71167,,2017,7,Stanislaus,Modesto City Elementary,Bret Harte Elementary,95358,0.0
162,118513,2341.6,2380.5,50,75572,,2017,7,Stanislaus,Waterford Unified,Richard M. Moon Primary,95386,0.0
163,118513,2340.3,2380.5,50,75572,,2017,7,Stanislaus,Waterford Unified,Richard M. Moon Primary,95386,0.0
164,100537,2401.6,2410.8,51,71464,,2017,7,Sutter,Yuba City Unified,Andros Karperos,95993,0.0
165,100537,2384.0,2410.8,51,71464,,2017,7,Sutter,Yuba City Unified,Andros Karperos,95993,0.0
166,6054142,2416.9,2398.8,54,71993,,2017,7,Tulare,Lindsay Unified,Jefferson Elementary,93247,0.0
167,6054142,2387.0,2398.8,54,71993,,2017,7,Tulare,Lindsay Unified,Jefferson Elementary,93247,0.0
168,6054159,2428.3,2405.5,54,71993,,2017,7,Tulare,Lindsay Unified,Washington Elementary,93247,0.0
169,6054159,2413.5,2405.5,54,71993,,2017,7,Tulare,Lindsay Unified,Washington Elementary,93247,0.0
170,6054241,2394.6,2381.8,54,75523,,2017,7,Tulare,Porterville Unified,John J. Doyle Elementary,93257,0.0
171,6054241,2378.2,2381.8,54,75523,,2017,7,Tulare,Porterville Unified,John J. Doyle Elementary,93257,0.0
172,6055024,2350.5,2342.5,56,72462,,2017,7,Ventura,Hueneme Elementary,Art Haycox Elementary,93033,0.0
